Global Entity\,Logistics Area,Source,SF Status Raw, Vendor name,Vendor Grade,City,Address,Latitude,Longitude,Phone,Main Cuisine,Lead ID,Accuracy,Status ,Handler email,GRID
HS_SA,logistics,keeta,No Match,Akbar Al Bukhari Restaurant,null,Riyadh,"Badr, Al Imam Malik Rd, Riyadh 14724",24.5486,46.707,null,"Arabic, Saudi",453255,Invalid lead (Add reason),Already exist,Bandar Alshathri,HA7S0F
HS_SA,logistics_proximity,keeta,No Match,Al Baraka Bukhari Restaurant,null,Riyadh,"Arafat Rd، 4451 7244 فتح مكة, Riyadh 14724",24.5402,46.7132,null,"Arabic, Saudi, Meat, Bokhari",469890,Invalid lead (Add reason),Already exist,Ahmed khalil,HRBMVS
HS_SA,logistics_proximity,keeta,No Match,Al Zalal Restaurant,null,Riyadh,"3751 7503 Prince Mamduh Bin Abdulaziz St, As Sulimaniyah, Riyadh 12242",24.7101,46.6926,+966112786671,"Asian, Pakistani, Fine Dining, Meat, Local Flavors",489464,Invalid lead (Add reason),Duplicate,Mohammad Nasreddin,
HS_SA,logistics,keeta,No Match,Alam Althura Markets Almajd,null,Riyadh,"4210 Eastern Ring Branch Rd, Ar Rabwah, 6838, Riyadh 12839, Saudi Arabia",24.6799,46.7761,null,"Dessert, Snacks",492730,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,4CUZPO
HS_SA,sales,keeta,No Match,Alstuor,null,Riyadh,"JQ33+JG7, Al Mansourah, Riyadh 12694, Saudi Arabia",24.6041,46.7538,null,"Fast Food, Shawarma, Meat",580340,Invalid lead (Add reason),Already exist,Bandar Alshathri,4CJ71O
HS_SA,logistics_proximity,keeta,No Match,Amust Burger&More,null,Al-Kharj,"8193 Qadri Touqan, 4564, Granada District, Al-Kharj 16272, Saudi Arabia",24.1372,47.2759,null,"Fast Food, Burger",486225,Invalid lead (Add reason),Already exist,Ahmed khalil,HZXYHI
HS_SA,logistics,keeta,No Match,Anwaar Al Shawaya,null,Riyadh,"7338 Prince Sultan Bin Abdulaziz Rd, 3039, Riyadh 12221",24.6923,46.6942,null,"Arabic, Saudi, Grill, Meat, Seafood/Grill",561037,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,HAGA7N
HS_SA,sales,keeta,No Match,Anwaar Grill,null,Riyadh,Anwaar,24.6711,46.7338,null,"Arabic, Saudi, Mandi, Gathering, Bokhari",469642,Invalid lead (Add reason),Already exist,Mohamed Zeidan ,HAGA7N
HS_SA,sales,keeta,No Match,Anwar Dunia Broasted,null,Al-Kharj,"Az Zahir, Al-Kharj 16545",24.1473,47.3588,null,"Fast Food, Fried Chicken",584087,Invalid lead (Add reason),Already exist,Ahmed khalil,HR30VK
HS_SA,logistics_proximity,keeta,No Match,Anwar Duniya Broasted,null,Al-Kharj,"King Saud Rd, Street, Al-Kharj 16271",24.1285,47.2774,null,"Fast Food, Fried Chicken",495966,Invalid lead (Add reason),Already exist,Ahmed khalil,HR30VK
