,Global Entity\,Logistics Area,Source,SF Status Raw, Vendor name,Vendor Grade,City,Address,Latitude,Longitude,Phone,Main Cuisine,Lead ID,Accuracy,Status ,Handler email,GRID,global_entity_id,lead_id,lead_source,restaurant_name,restaurant_area,restaurant_address,restaurant_post_code,restaurant_lat,restaurant_long,restaurant_city,haversine_distance
0,HS_SA,logistics,keeta,No Match,Akbar Al Bukhari Restaurant,,Riyadh,"Badr, Al Imam Malik Rd, Riyadh 14724",24.5486,46.707,,"Arabic, Saudi",453255,Invalid lead (Add reason),Already exist,Bandar Alshathri,HA7S0F,HS_SA,HA7S0F,salesforce,Rukn Akbar Al Bukhari Restaurants: An Nasim Al Gharbi,An Nasim Al Gharbi,Omar Bin Abdullah ST,14234,24.722327111421095,46.835070261371555,Riyadh,23.253594407175104
1,HS_SA,logistics_proximity,keeta,No Match,Al Baraka Bukhari Restaurant,,Riyadh,"Arafat Rd، 4451 7244 فتح مكة, Riyadh 14724",24.5402,46.7132,,"Arabic, Saudi, Meat, Bokhari",469890,Invalid lead (Add reason),Already exist,Ahmed khalil,HRBMVS,HS_SA,HRBMVS,salesforce,Dhawq qand : Al Marwah,Al Marwah,"6806 Al Khalil Ibn Ahmad, Al Marwah, 3790, Riyadh 14721",14721,24.5467486,46.6882942,Riyadh,2.6223019325595147
2,HS_SA,logistics_proximity,keeta,No Match,Al Zalal Restaurant,,Riyadh,"3751 7503 Prince Mamduh Bin Abdulaziz St, As Sulimaniyah, Riyadh 12242",24.7101,46.6926,966112786671.0,"Asian, Pakistani, Fine Dining, Meat, Local Flavors",489464,Invalid lead (Add reason),Duplicate,Mohammad Nasreddin,,,,,,,,,,,,
3,HS_SA,logistics,keeta,No Match,Alam Althura Markets Almajd,,Riyadh,"4210 Eastern Ring Branch Rd, Ar Rabwah, 6838, Riyadh 12839, Saudi Arabia",24.6799,46.7761,,"Dessert, Snacks",492730,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,4CUZPO,HS_SA,4CUZPO,salesforce,Corn World,As Safraa,"26.36760976481661, 43.96233186537955",,26.367427,43.9624753,Buraydah,338.9790525069203
4,HS_SA,sales,keeta,No Match,Alstuor,,Riyadh,"JQ33+JG7, Al Mansourah, Riyadh 12694, Saudi Arabia",24.6041,46.7538,,"Fast Food, Shawarma, Meat",580340,Invalid lead (Add reason),Already exist,Bandar Alshathri,4CJ71O,HS_SA,4CJ71O,salesforce,"Cleaver , Al Mansourah",Al Mansourah,"24.604185707693016, 46.753782342328556",,24.6040625,46.7538125,Riyadh,0.004357103440924056
5,HS_SA,logistics_proximity,keeta,No Match,Amust Burger&More,,Al-Kharj,"8193 Qadri Touqan, 4564, Granada District, Al-Kharj 16272, Saudi Arabia",24.1372,47.2759,,"Fast Food, Burger",486225,Invalid lead (Add reason),Already exist,Ahmed khalil,HZXYHI,HS_SA,HZXYHI,salesforce,AMUST BURGER&MORE,Prince Sattam Bin Abdulaziz University,"King Abdullah Rd, الخزامى، الخرج 11942",,24.16173563815981,47.29827027605744,Al Kharj,3.5489581308593516
6,HS_SA,logistics,keeta,No Match,Anwaar Al Shawaya,,Riyadh,"7338 Prince Sultan Bin Abdulaziz Rd, 3039, Riyadh 12221",24.6923,46.6942,,"Arabic, Saudi, Grill, Meat, Seafood/Grill",561037,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,HAGA7N,HS_SA,HAGA7N,salesforce,ANWAAR AL SHAWAYA,Uraija Al Gharbiyah,11,6907,24.58111307987496,46.590377131424944,Riyadh,16.216384456283876
7,HS_SA,sales,keeta,No Match,Anwaar Grill,,Riyadh,Anwaar,24.6711,46.7338,,"Arabic, Saudi, Mandi, Gathering, Bokhari",469642,Invalid lead (Add reason),Already exist,Mohamed Zeidan ,HAGA7N,HS_SA,HAGA7N,salesforce,ANWAAR AL SHAWAYA,Uraija Al Gharbiyah,11,6907,24.58111307987496,46.590377131424944,Riyadh,17.615210314768415
8,HS_SA,sales,keeta,No Match,Anwar Dunia Broasted,,Al-Kharj,"Az Zahir, Al-Kharj 16545",24.1473,47.3588,,"Fast Food, Fried Chicken",584087,Invalid lead (Add reason),Already exist,Ahmed khalil,HR30VK,HS_SA,HR30VK,salesforce,Duniya broasted : An Nahdah,An Nahdah,7878 طريق الملك فهد، النهضة، 2773، الخرج 16439,2773,24.1582768,47.3262422,Al Kharj,3.52161953183463
9,HS_SA,logistics_proximity,keeta,No Match,Anwar Duniya Broasted,,Al-Kharj,"King Saud Rd, Street, Al-Kharj 16271",24.1285,47.2774,,"Fast Food, Fried Chicken",495966,Invalid lead (Add reason),Already exist,Ahmed khalil,HR30VK,HS_SA,HR30VK,salesforce,Duniya broasted : An Nahdah,An Nahdah,7878 طريق الملك فهد، النهضة، 2773، الخرج 16439,2773,24.1582768,47.3262422,Al Kharj,5.9602110403183195
